Handset Manufacturer,Engagement Score,Satisfaction Score,Total Session Duration (s)
Vivo Mobile Communication Co Ltd,639903,1686.79875,35.118
Zebra Technologies Corp.,574781.7143,1676.784286,80.85621429
DDM Brands LLC,546519.75,1643.62,54.21725
Archos SA,1362103.6,1619.017,54.643
Acer,162213.3571,1529.42503,45.58464286
Blu Products Inc,1102067,1446.83,45.6155
Kenxinda,1018803,1428.8725,51.5165
Nokia,277345.0536,1386.543493,68.66347321
Rim,1244811.804,1375.826779,56.62978261
Avenir Telecom,474426.5,1231.455,51.9785
Shenzhen Huadoo Bright Group Limited,443131,1192.43,34.799
TCT Mobile Suzhou Limited,335939.5,1153.429583,62.39475
RIM,940155.2,1092.802,60.946
ZyXEL Communications Corp,34492764,1086.295,86.399
DN Electronics,216131,699.425,57.138
Sonaki Corporation S.A.,1057418.286,567.6139582,59.91128571
Zte,9815020.958,500.2814965,141.2018272
Vastking Technology (Hk) Limited,370089,478.78,86.399
Quanta,8950173,475.065,86.399
Sony Ericsson,55467,355.5310207,64.6441
Pacific Co (Bd) Ltd,1308357.333,311.9166667,55.42233333
Doro AB,2863.8,256.007,43.9776
Kapsys,117584.3333,250.9416667,45.75433333
Adar,305375,245.675,86.376
Ck Telecom Limited,101646,241.22,85.816
Pt. Arga Mas Lestari,430193,235.265,172.796
Hong Kong Frog International Limited,3491003.75,221.2269268,41.52475
KVD International Group Limited,395261,193.565,86.36
Sonim Technologies Inc,1744267,154.835,39.712
Telit,604482.3,153.5941436,86.234
Power Idea Technology (Shenzhen) Co Ltd,104278.5714,136.2164286,86.16457143
Mikrotikls Sia,469244.5,135.825,86.3985
Source (Hk) Ltd,3563929,129.725,45.048
Dynamic Tech Holdings Limited,5061937.333,126.8,86.26766667
Shenzhen Kelly The Communication Equipment Co Ltd,137358,125.755,86.399
Cisco Systems Inc (Including All Affiliates),10215073,120.8627071,86.4
Concox Information Technology (Hong Kong) Co Ltd,194971.4,111.3350828,62.0286
Intermec Technologies,2804.25,95.42125,74.851
Mptech,57652,81.36,95.015
Kiwip Technologies Sas,10396,69.68333333,64.92833333
Gemalto M2M Gmbh,248744.0526,56.29018607,74.99573684
Shenzhen Guowei Electronics Co Ltd,27652,50.55,85.867
Hongkong Ipro Technology Co Limited,41030,49.23,86.399
Sentar Wireless Technology Co Limited,3073,46.055,74.438
Tianyu,16489,41.265,38.668
Hewlett-Packard,27825,30.32,86.399
Shenzhen Sprocomm Technologies Co Ltd,52173,22.065,85.799
Shenzhen Kdi Communication Co Ltd,15157.8,18.816,71.997
Kazam Mobile Limited,4009,11.72,86.141
Alif Communications,11169,10.24,16.617
Option Nv,477562,9.362707055,86.387
Shenzhen New Chabridge Communication Co Ltd,26469,7.535,16.18
Topwell Technology (HK) Company Limited,945.5,5.21125,82.63775
Mobiwire Sas,22686,3.862707055,85.8
Quectel Wireless Solutions Co Ltd,10082.66667,3.47847137,610.5713333
Simcom Wireless Solutions Co Ltd,38767.2,2.441624233,86.3266
Test IMEI,0,0.362707055,74.399
Shenzhen Gaoxinqi,2902,0.285,83.595
Shenzhen Yiqingteng Electronic Technology Co Ltd,2467,0.24,86.395
Wct,0,-0.637292945,86.624
